School Year,Season,Sex,Division,Event,Qualifying Standard
2024-2025,fall,F,Division II State,200 Freestyle Relay,1:56.74
2024-2025,fall,F,Division II State,100 Backstroke,1:08.15
2024-2025,fall,F,Division II State,100 Breaststroke,1:18.66
2024-2025,fall,F,Division II State,400 Freestyle Relay,4:13.99
2024-2025,fall,M,North Sectional,200 Medley Relay,2:16.78
2024-2025,fall,M,North Sectional,200 Freestyle,2:13.29
2024-2025,fall,M,North Sectional,200 Individual Medley,2:31.64
2024-2025,fall,M,North Sectional,50 Freestyle,27.62
2024-2025,fall,M,North Sectional,Diving,175 x 2
2024-2025,fall,M,North Sectional,100 Butterfly,1:08.90
2024-2025,fall,M,North Sectional,100 Freestyle,1:00.84
2024-2025,fall,M,North Sectional,500 Freestyle,6:04.23
2024-2025,fall,M,North Sectional,200 Freestyle Relay,1:59.03
2024-2025,fall,M,North Sectional,100 Backstroke,1:08.76
2024-2025,fall,M,North Sectional,100 Breaststroke,1:19.23
2024-2025,fall,M,North Sectional,400 Freestyle Relay,4:25.59
2024-2025,fall,M,South Sectional,200 Medley Relay,2:15.55
2024-2025,fall,M,South Sectional,200 Freestyle,2:13.29
2024-2025,fall,M,South Sectional,200 Individual Medley,2:32.98
2024-2025,fall,M,South Sectional,50 Freestyle,27.53
2024-2025,fall,M,South Sectional,Diving,175 x 2
2024-2025,fall,M,South Sectional,100 Butterfly,1:09.51
2024-2025,fall,M,South Sectional,100 Freestyle,1:00.58
2024-2025,fall,M,South Sectional,500 Freestyle,6:04.23
2024-2025,fall,M,South Sectional,200 Freestyle Relay,1:59.03
2024-2025,fall,M,South Sectional,100 Backstroke,1:08.76
2024-2025,fall,M,South Sectional,100 Breaststroke,1:20.46
2024-2025,fall,M,South Sectional,400 Freestyle Relay,4:24.53
2024-2025,fall,M,Division I State,200 Medley Relay,2:03.90
2024-2025,fall,M,Division I State,200 Freestyle,1:57.09
2024-2025,fall,M,Division I State,200 Individual Medley,2:13.00
2024-2025,fall,M,Division I State,50 Freestyle,24.00
2024-2025,fall,M,Division I State,Diving,192 x 2
2024-2025,fall,M,Division I State,100 Butterfly,59.00
2024-2025,fall,M,Division I State,100 Freestyle,52.67
2024-2025,fall,M,Division I State,500 Freestyle,5:23.09
2024-2025,fall,M,Division I State,200 Freestyle Relay,1:38.93
2024-2025,fall,M,Division I State,100 Backstroke,1:01.47
2024-2025,fall,M,Division I State,100 Breaststroke,1:08.21
2024-2025,fall,M,Division I State,400 Freestyle Relay,3:49.90
2024-2025,fall,M,Division II State,200 Medley Relay,2:03.90
2024-2025,fall,M,Division II State,200 Freestyle,1:57.09
2024-2025,fall,M,Division II State,200 Individual Medley,2:13.00
2024-2025,fall,M,Division II State,50 Freestyle,24.00
2024-2025,fall,M,Division II State,Diving,192 x 2
2024-2025,fall,M,Division II State,100 Butterfly,59.00
2024-2025,fall,M,Division II State,100 Freestyle,52.67
2024-2025,fall,M,Division II State,500 Freestyle,5:23.09
2024-2025,fall,M,Division II State,200 Freestyle Relay,1:38.93
2024-2025,fall,M,Division II State,100 Backstroke,1:01.47
2024-2025,fall,M,Division II State,100 Breaststroke,1:08.21
2024-2025,fall,M,Division II State,400 Freestyle Relay,3:49.90
2024-2025,winter,F,North Sectional,200 Medley Relay,2:13.22
2024-2025,winter,F,North Sectional,200 Freestyle,2:10.76
2024-2025,winter,F,North Sectional,200 Individual Medley,2:28.59
2024-2025,winter,F,North Sectional,50 Freestyle,26.98
2024-2025,winter,F,North Sectional,Diving,180 x 2
2024-2025,winter,F,North Sectional,100 Butterfly,1:06.95
2024-2025,winter,F,North Sectional,100 Freestyle,59.51
2024-2025,winter,F,North Sectional,500 Freestyle,5:59.16
2024-2025,winter,F,North Sectional,200 Freestyle Relay,1:58.71
2024-2025,winter,F,North Sectional,100 Backstroke,1:07.83
2024-2025,winter,F,North Sectional,100 Breaststroke,1:17.84
2024-2025,winter,F,North Sectional,400 Freestyle Relay,4:26.48
2024-2025,winter,F,South Sectional,200 Medley Relay,2:05.89
2024-2025,winter,F,South Sectional,200 Freestyle,2:11.41
2024-2025,winter,F,South Sectional,200 Individual Medley,2:29.46
2024-2025,winter,F,South Sectional,50 Freestyle,27.14
2024-2025,winter,F,South Sectional,Diving,180 x 2
2024-2025,winter,F,South Sectional,100 Butterfly,1:07.12
2024-2025,winter,F,South Sectional,100 Freestyle,59.87
2024-2025,winter,F,South Sectional,500 Freestyle,5:55.73
2024-2025,winter,F,South Sectional,200 Freestyle Relay,1:53.83
2024-2025,winter,F,South Sectional,100 Backstroke,1:07.98
2024-2025,winter,F,South Sectional,100 Breaststroke,1:19.12
2024-2025,winter,F,South Sectional,400 Freestyle Relay,4:13.24
2024-2025,winter,F,Central/West Sectional,200 Medley Relay,2:10.81
2024-2025,winter,F,Central/West Sectional,200 Freestyle,2:15.62
2024-2025,winter,F,Central/West Sectional,200 Individual Medley,2:34.84
2024-2025,winter,F,Central/West Sectional,50 Freestyle,27.27
2024-2025,winter,F,Central/West Sectional,Diving,155 x 2
2024-2025,winter,F,Central/West Sectional,100 Butterfly,1:08.24
2024-2025,winter,F,Central/West Sectional,100 Freestyle,1:00.33
2024-2025,winter,F,Central/West Sectional,500 Freestyle,6:03.67
2024-2025,winter,F,Central/West Sectional,200 Freestyle Relay,1:56.72
2024-2025,winter,F,Central/West Sectional,100 Backstroke,1:10.09
2024-2025,winter,F,Central/West Sectional,100 Breaststroke,1:18.91
2024-2025,winter,F,Central/West Sectional,400 Freestyle Relay,4:20.80
2024-2025,winter,F,Division I State,200 Medley Relay,2:05.60
2024-2025,winter,F,Division I State,200 Freestyle,2:08.99
2024-2025,winter,F,Division I State,200 Individual Medley,2:27.56
2024-2025,winter,F,Division I State,50 Freestyle,26.84
2024-2025,winter,F,Division I State,Diving,187 x 2
2024-2025,winter,F,Division I State,100 Butterfly,1:06.35
2024-2025,winter,F,Division I State,100 Freestyle,58.91
2024-2025,winter,F,Division I State,500 Freestyle,5:47.39
2024-2025,winter,F,Division I State,200 Freestyle Relay,1:51.63
2024-2025,winter,F,Division I State,100 Backstroke,1:06.78
2024-2025,winter,F,Division I State,100 Breaststroke,1:16.48
2024-2025,winter,F,Division I State,400 Freestyle Relay,4:06.10
2024-2025,winter,F,Division II State,200 Medley Relay,2:03.85
2024-2025,winter,F,Division II State,200 Freestyle,2:08.51
2024-2025,winter,F,Division II State,200 Individual Medley,2:26.17
2024-2025,winter,F,Division II State,50 Freestyle,26.72
2024-2025,winter,F,Division II State,Diving,192 x 2
2024-2025,winter,F,Division II State,100 Butterfly,1:05.96
2024-2025,winter,F,Division II State,100 Freestyle,58.67
2024-2025,winter,F,Division II State,500 Freestyle,5:48.05
2024-2025,winter,F,Division II State,200 Freestyle Relay,1:51.12
2024-2025,winter,F,Division II State,100 Backstroke,1:06.98
2024-2025,winter,F,Division II State,100 Breaststroke,1:16.21
2024-2025,winter,F,Division II State,400 Freestyle Relay,4:04.35
2024-2025,winter,M,North Sectional,200 Medley Relay,1:52.11
2024-2025,winter,M,North Sectional,200 Freestyle,1:57.29
2024-2025,winter,M,North Sectional,200 Individual Medley,2:12.67
2024-2025,winter,M,North Sectional,50 Freestyle,23.93
2024-2025,winter,M,North Sectional,Diving,185 x 2
2024-2025,winter,M,North Sectional,100 Butterfly,58.85
2024-2025,winter,M,North Sectional,100 Freestyle,52.78
2024-2025,winter,M,North Sectional,500 Freestyle,5:23.25
2024-2025,winter,M,North Sectional,200 Freestyle Relay,1:40.22
2024-2025,winter,M,North Sectional,100 Backstroke,1:00.47
2024-2025,winter,M,North Sectional,100 Breaststroke,1:07.33
2024-2025,winter,M,North Sectional,400 Freestyle Relay,3:42.17
2024-2025,winter,M,South Sectional,200 Medley Relay,1:52.89
2024-2025,winter,M,South Sectional,200 Freestyle,1:58.76
2024-2025,winter,M,South Sectional,200 Individual Medley,2:14.92
2024-2025,winter,M,South Sectional,50 Freestyle,24.08
2024-2025,winter,M,South Sectional,Diving,178 x 2
2024-2025,winter,M,South Sectional,100 Butterfly,59.12
2024-2025,winter,M,South Sectional,100 Freestyle,53.19
2024-2025,winter,M,South Sectional,500 Freestyle,5:29.14
2024-2025,winter,M,South Sectional,200 Freestyle Relay,1:40.54
2024-2025,winter,M,South Sectional,100 Backstroke,1:02.09
2024-2025,winter,M,South Sectional,100 Breaststroke,1:08.67
2024-2025,winter,M,South Sectional,400 Freestyle Relay,3:42.02
2024-2025,winter,M,Central/West Sectional,200 Medley Relay,1:59.59
2024-2025,winter,M,Central/West Sectional,200 Freestyle,2:04.75
2024-2025,winter,M,Central/West Sectional,200 Individual Medley,2:22.18
2024-2025,winter,M,Central/West Sectional,50 Freestyle,24.98
2024-2025,winter,M,Central/West Sectional,Diving,150 x 2
2024-2025,winter,M,Central/West Sectional,100 Butterfly,1:03.24
2024-2025,winter,M,Central/West Sectional,100 Freestyle,54.88
2024-2025,winter,M,Central/West Sectional,500 Freestyle,5:45.82
2024-2025,winter,M,Central/West Sectional,200 Freestyle Relay,1:45.93
2024-2025,winter,M,Central/West Sectional,100 Backstroke,1:06.18
2024-2025,winter,M,Central/West Sectional,100 Breaststroke,1:10.72
2024-2025,winter,M,Central/West Sectional,400 Freestyle Relay,4:08.35
2024-2025,winter,M,Division I State,200 Medley Relay,1:48.18
2024-2025,winter,M,Division I State,200 Freestyle,1:53.89
2024-2025,winter,M,Division I State,200 Individual Medley,2:08.43
2024-2025,winter,M,Division I State,50 Freestyle,23.26
2024-2025,winter,M,Division I State,Diving,195 x 2
2024-2025,winter,M,Division I State,100 Butterfly,56.36
2024-2025,winter,M,Division I State,100 Freestyle,51.54
2024-2025,winter,M,Division I State,500 Freestyle,5:14.64
2024-2025,winter,M,Division I State,200 Freestyle Relay,1:36.86
2024-2025,winter,M,Division I State,100 Backstroke,58.84
2024-2025,winter,M,Division I State,100 Breaststroke,1:05.12
2024-2025,winter,M,Division I State,400 Freestyle Relay,3:35.42
2024-2025,winter,M,Division II State,200 Medley Relay,1:49.80
2024-2025,winter,M,Division II State,200 Freestyle,1:56.97
2024-2025,winter,M,Division II State,200 Individual Medley,2:12.75
2024-2025,winter,M,Division II State,50 Freestyle,23.68
2024-2025,winter,M,Division II State,Diving,190 x 2
2024-2025,winter,M,Division II State,100 Butterfly,58.03
2024-2025,winter,M,Division II State,100 Freestyle,51.99
2024-2025,winter,M,Division II State,500 Freestyle,5:22.66
2024-2025,winter,M,Division II State,200 Freestyle Relay,1:38.03
2024-2025,winter,M,Division II State,100 Backstroke,59.96
2024-2025,winter,M,Division II State,100 Breaststroke,1:07.21
2024-2025,winter,M,Division II State,400 Freestyle Relay,3:41.55
2023-2024,fall,F,North Sectional,200 Medley Relay,2:16.78
2023-2024,fall,F,North Sectional,200 Freestyle,2:11.79
2023-2024,fall,F,North Sectional,200 Individual Medley,2:31.14
2023-2024,fall,F,North Sectional,50 Freestyle,27.22
2023-2024,fall,F,North Sectional,Diving,180 x 2
2023-2024,fall,F,North Sectional,100 Butterfly,1:08.40
2023-2024,fall,F,North Sectional,100 Freestyle,59.93
2023-2024,fall,F,North Sectional,500 Freestyle,6:01.73
2023-2024,fall,F,North Sectional,200 Freestyle Relay,1:59.03
2023-2024,fall,F,North Sectional,100 Backstroke,1:08.51
2023-2024,fall,F,North Sectional,100 Breaststroke,1:17.98
2023-2024,fall,F,North Sectional,400 Freestyle Relay,4:25.59
2023-2024,fall,F,South Sectional,200 Medley Relay,2:15.55
2023-2024,fall,F,South Sectional,200 Freestyle,2:12.74
2023-2024,fall,F,South Sectional,200 Individual Medley,2:31.98
2023-2024,fall,F,South Sectional,50 Freestyle,27.43
2023-2024,fall,F,South Sectional,Diving,180 x 2
2023-2024,fall,F,South Sectional,100 Butterfly,1:09.01
2023-2024,fall,F,South Sectional,100 Freestyle,1:00.33
2023-2024,fall,F,South Sectional,500 Freestyle,6:01.73
2023-2024,fall,F,South Sectional,200 Freestyle Relay,1:59.03
2023-2024,fall,F,South Sectional,100 Backstroke,1:08.01
2023-2024,fall,F,South Sectional,100 Breaststroke,1:19.96
2023-2024,fall,F,South Sectional,400 Freestyle Relay,4:24.53
2023-2024,fall,F,Division I State,200 Medley Relay,2:08.02
2023-2024,fall,F,Division I State,200 Freestyle,2:10.78
2023-2024,fall,F,Division I State,200 Individual Medley,2:27.01
2023-2024,fall,F,Division I State,50 Freestyle,26.70
2023-2024,fall,F,Division I State,Diving,190 x 2
2023-2024,fall,F,Division I State,100 Butterfly,1:07.17
2023-2024,fall,F,Division I State,100 Freestyle,59.30
2023-2024,fall,F,Division I State,500 Freestyle,5:48.87
2023-2024,fall,F,Division I State,200 Freestyle Relay,1:56.11
2023-2024,fall,F,Division I State,100 Backstroke,1:07.50
2023-2024,fall,F,Division I State,100 Breaststroke,1:15.02
2023-2024,fall,F,Division I State,400 Freestyle Relay,4:13.18
2023-2024,fall,F,Division II State,200 Medley Relay,2:11.93
2023-2024,fall,F,Division II State,200 Freestyle,2:10.94
2023-2024,fall,F,Division II State,200 Individual Medley,2:30.15
2023-2024,fall,F,Division II State,50 Freestyle,27.00
2023-2024,fall,F,Division II State,Diving,190 x 2
2023-2024,fall,F,Division II State,100 Butterfly,1:08.33
2023-2024,fall,F,Division II State,100 Freestyle,59.95
2023-2024,fall,F,Division II State,500 Freestyle,5:53.94
2023-2024,fall,F,Division II State,200 Freestyle Relay,1:56.54
2023-2024,fall,F,Division II State,100 Backstroke,1:07.85
2023-2024,fall,F,Division II State,100 Breaststroke,1:17.66
2023-2024,fall,F,Division II State,400 Freestyle Relay,4:13.69
2023-2024,fall,M,North Sectional,200 Medley Relay,2:16.78
2023-2024,fall,M,North Sectional,200 Freestyle,2:11.79
2023-2024,fall,M,North Sectional,200 Individual Medley,2:31.14
2023-2024,fall,M,North Sectional,50 Freestyle,27.22
2023-2024,fall,M,North Sectional,Diving,180 x 2
2023-2024,fall,M,North Sectional,100 Butterfly,1:08.40
2023-2024,fall,M,North Sectional,100 Freestyle,59.93
2023-2024,fall,M,North Sectional,500 Freestyle,6:01.73
2023-2024,fall,M,North Sectional,200 Freestyle Relay,1:59.03
2023-2024,fall,M,North Sectional,100 Backstroke,1:08.51
2023-2024,fall,M,North Sectional,100 Breaststroke,1:17.98
2023-2024,fall,M,North Sectional,400 Freestyle Relay,4:25.59
2023-2024,fall,M,South Sectional,200 Medley Relay,2:15.55
2023-2024,fall,M,South Sectional,200 Freestyle,2:12.74
2023-2024,fall,M,South Sectional,200 Individual Medley,2:31.98
2023-2024,fall,M,South Sectional,50 Freestyle,27.43
2023-2024,fall,M,South Sectional,Diving,180 x 2
2023-2024,fall,M,South Sectional,100 Butterfly,1:09.01
2023-2024,fall,M,South Sectional,100 Freestyle,1:00.33
2023-2024,fall,M,South Sectional,500 Freestyle,6:01.73
2023-2024,fall,M,South Sectional,200 Freestyle Relay,1:59.03
2023-2024,fall,M,South Sectional,100 Backstroke,1:08.01
2023-2024,fall,M,South Sectional,100 Breaststroke,1:19.96
2023-2024,fall,M,South Sectional,400 Freestyle Relay,4:24.53
2023-2024,fall,M,Division I State,200 Medley Relay,2:03.90
2023-2024,fall,M,Division I State,200 Freestyle,1:57.09
2023-2024,fall,M,Division I State,200 Individual Medley,2:13.00
2023-2024,fall,M,Division I State,50 Freestyle,23.22
2023-2024,fall,M,Division I State,Diving,192 x 2
2023-2024,fall,M,Division I State,100 Butterfly,59.00
2023-2024,fall,M,Division I State,100 Freestyle,52.67
2023-2024,fall,M,Division I State,500 Freestyle,5:23.09
2023-2024,fall,M,Division I State,200 Freestyle Relay,1:38.93
2023-2024,fall,M,Division I State,100 Backstroke,1:01.47
2023-2024,fall,M,Division I State,100 Breaststroke,1:08.21
2023-2024,fall,M,Division I State,400 Freestyle Relay,3:49.90
2023-2024,fall,M,Division II State,200 Medley Relay,2:03.90
2023-2024,fall,M,Division II State,200 Freestyle,1:57.09
2023-2024,fall,M,Division II State,200 Individual Medley,2:13.00
2023-2024,fall,M,Division II State,50 Freestyle,24.00
2023-2024,fall,M,Division II State,Diving,192 x 2
2023-2024,fall,M,Division II State,100 Butterfly,59.00
2023-2024,fall,M,Division II State,100 Freestyle,52.67
2023-2024,fall,M,Division II State,500 Freestyle,5:23.09
2023-2024,fall,M,Division II State,200 Freestyle Relay,1:38.93
2023-2024,fall,M,Division II State,100 Backstroke,1:01.47
2023-2024,fall,M,Division II State,100 Breaststroke,1:08.21
2023-2024,fall,M,Division II State,400 Freestyle Relay,3:49.90
2023-2024,winter,F,North Sectional,200 Medley Relay,2:13.22
2023-2024,winter,F,North Sectional,200 Freestyle,2:10.76
2023-2024,winter,F,North Sectional,200 Individual Medley,2:28.59
2023-2024,winter,F,North Sectional,50 Freestyle,26.88
2023-2024,winter,F,North Sectional,Diving,185 x 2
2023-2024,winter,F,North Sectional,100 Butterfly,1:07.32
2023-2024,winter,F,North Sectional,100 Freestyle,59.51
2023-2024,winter,F,North Sectional,500 Freestyle,5:57.66
2023-2024,winter,F,North Sectional,200 Freestyle Relay,1:58.71
2023-2024,winter,F,North Sectional,100 Backstroke,1:06.96
2023-2024,winter,F,North Sectional,100 Breaststroke,1:17.84
2023-2024,winter,F,North Sectional,400 Freestyle Relay,4:26.48
2023-2024,winter,F,South Sectional,200 Medley Relay,2:05.65
2023-2024,winter,F,South Sectional,200 Freestyle,2:10.54
2023-2024,winter,F,South Sectional,200 Individual Medley,2:28.67
2023-2024,winter,F,South Sectional,50 Freestyle,26.89
2023-2024,winter,F,South Sectional,Diving,185 x 2
2023-2024,winter,F,South Sectional,100 Butterfly,1:06.77
2023-2024,winter,F,South Sectional,100 Freestyle,59.64
2023-2024,winter,F,South Sectional,500 Freestyle,5:55.73
2023-2024,winter,F,South Sectional,200 Freestyle Relay,1:53.83
2023-2024,winter,F,South Sectional,100 Backstroke,1:07.81
2023-2024,winter,F,South Sectional,100 Breaststroke,1:17.86
2023-2024,winter,F,South Sectional,400 Freestyle Relay,4:13.24
2023-2024,winter,F,Central/West Sectional,200 Medley Relay,2:10.81
2023-2024,winter,F,Central/West Sectional,200 Freestyle,2:14.68
2023-2024,winter,F,Central/West Sectional,200 Individual Medley,2:33.76
2023-2024,winter,F,Central/West Sectional,50 Freestyle,27.83
2023-2024,winter,F,Central/West Sectional,Diving,155 x 2
2023-2024,winter,F,Central/West Sectional,100 Butterfly,1:08.24
2023-2024,winter,F,Central/West Sectional,100 Freestyle,1:00.33
2023-2024,winter,F,Central/West Sectional,500 Freestyle,6:03.67
2023-2024,winter,F,Central/West Sectional,200 Freestyle Relay,1:56.72
2023-2024,winter,F,Central/West Sectional,100 Backstroke,1:09.16
2023-2024,winter,F,Central/West Sectional,100 Breaststroke,1:18.91
2023-2024,winter,F,Central/West Sectional,400 Freestyle Relay,4:23.53
2023-2024,winter,F,Division I State,200 Medley Relay,2:05.30
2023-2024,winter,F,Division I State,200 Freestyle,2:08.95
